StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,DistributionChannel,UserLanguage,consent,sex,sex_3_TEXT,social support_1,social support_2,social support_3,social support_4,social support_5,social support_6,social support_7,social support_8,social support_9,social support_10,social support_11,social support_12,online SS_1,online SS_2,online SS_3,online SS_4,online SS_5,online SS_6,online SS_7,online SS_8,online SS_9,online SS_10,online SS_11,online SS_12,online SS_13,online SS_14,online SS_15,online SS_16,online SS_17,online SS_18,online SS_19,online SS_20,online SS_21,online SS_22,online SS_23,online SS_24,mental wellbeing_1,mental wellbeing_2,mental wellbeing_3,mental wellbeing_4,mental wellbeing_5,mental wellbeing_6,mental wellbeing_7,mental wellbeing_8,mental wellbeing_9,mental wellbeing_10,mental wellbeing_11,mental wellbeing_12,mental wellbeing_13,mental wellbeing_14,mental wellbeing_15,stress scale_1,stress scale_2,stress scale_3,stress scale_4,stress scale_5,stress scale_6,stress scale_7,stress scale_8,stress scale_9,stress scale_10,stress scale_11,stress scale_12,social desirability_1,social desirability_2,social desirability_3,social desirability_4,social desirability_5,social desirability_6
12/14/2020 10:18,12/14/2020 10:23,0,100,296,1,12/14/2020 10:23,anonymous,TR,1,1,,4,4,4,3,4,4,4,2,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,2,3,3,3,2,3,2,3,2,3,3,3,4,3,4,4,4,4,3,4,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,4,2,1,1,5
12/14/2020 11:35,12/14/2020 11:40,0,100,281,1,12/14/2020 11:40,anonymous,TR,1,1,,5,5,5,5,5,5,5,4,5,5,5,5,4,4,3,5,4,3,3,4,4,3,3,5,4,4,3,3,4,3,3,3,3,3,2,3,3,3,2,4,4,4,4,3,3,3,3,4,4,4,3,3,2,3,4,4,3,4,4,4,4,4,3,4,3,2,3,5,4
12/14/2020 14:10,12/14/2020 14:18,0,100,442,1,12/14/2020 14:18,anonymous,TR,1,2,,4,2,4,3,2,3,2,2,3,2,4,3,2,2,2,4,4,3,3,2,3,3,3,2,1,4,2,2,1,3,1,3,2,2,3,4,3,2,4,1,3,3,5,4,2,3,4,5,2,3,3,3,2,3,3,4,3,3,2,4,4,2,2,4,2,4,1,2,3
12/14/2020 16:54,12/14/2020 16:57,0,100,185,1,12/14/2020 16:57,anonymous,TR,1,2,,4,4,5,4,5,4,4,5,5,5,4,4,5,5,4,3,4,5,4,3,5,4,5,5,5,3,4,5,4,3,4,4,5,5,4,3,4,5,5,4,4,4,5,5,4,5,5,4,5,5,5,5,4,5,4,3,4,3,4,5,4,5,5,5,4,5,5,1,5
12/15/2020 2:18,12/15/2020 2:29,0,100,674,1,12/15/2020 2:29,anonymous,TR,1,2,,3,4,3,3,3,2,5,3,3,3,4,3,3,3,4,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,4,2,2,1,4,4,3,4,4,4,4,4,3,3,4,4,4,4,4,3,2,3,2,4,3,3,4,4,4,2,3,3,4,3,2,2,4
12/15/2020 4:11,12/15/2020 4:16,0,100,279,1,12/15/2020 4:16,anonymous,TR,1,1,,4,4,3,3,4,4,5,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,3,4,3,3,4,4,3,3,2,4,3,4,4,3,4,3,4,4,4,3,3,3,3,3,4,4,3,3,2,4,4,3,2,2,3,3,2,3,3
12/15/2020 4:34,12/15/2020 4:51,0,100,999,1,12/15/2020 4:51,anonymous,TR,1,1,,4,4,4,4,5,5,5,4,4,4,4,4,3,3,3,4,3,4,3,4,4,2,4,4,2,4,4,3,3,3,3,3,4,2,1,1,3,3,4,4,4,3,4,4,4,3,3,4,4,4,4,3,3,2,3,4,3,4,2,5,4,3,3,4,3,1,1,3,3
12/15/2020 4:54,12/15/2020 5:01,0,100,386,1,12/15/2020 5:01,anonymous,TR,1,1,,4,2,5,5,4,3,4,5,4,4,4,4,3,3,3,3,2,2,3,3,3,3,3,3,2,4,3,2,3,3,3,3,3,3,2,2,4,4,4,4,2,4,3,3,3,3,3,4,5,3,3,3,3,4,5,3,3,3,3,3,4,5,4,1,2,2,2,2,2
12/15/2020 5:17,12/15/2020 5:21,0,100,281,1,12/15/2020 5:21,anonymous,TR,1,2,,4,4,5,4,4,4,4,5,5,5,4,5,3,3,2,3,3,2,2,1,3,2,2,2,1,4,2,2,1,1,1,1,1,3,2,2,4,4,4,4,3,3,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,4,2,4,4,3,2,2,4,2,1,1,4
12/15/2020 5:53,12/15/2020 6:01,0,100,493,1,12/15/2020 6:01,anonymous,TR,1,1,,4,5,3,2,3,4,4,3,4,4,2,4,4,4,4,4,4,4,4,4,5,4,3,3,3,4,4,3,3,4,3,4,3,4,4,4,4,4,3,4,4,3,4,3,4,3,3,4,4,4,3,3,3,3,4,4,3,4,2,3,3,3,3,2,2,1,3,4,3
